No,名前,English_Name,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,合計,身長_m,体重_kg,基礎経験値
1,フシギダネ,Bulbasaur,くさ,どく,45,49,49,65,65,45,318,0.7,6.9,64
2,フシギソウ,Ivysaur,くさ,どく,60,62,63,80,80,60,405,1.0,13.0,142
3,フシギバナ,Venusaur,くさ,どく,80,82,83,100,100,80,525,2.0,100.0,236
4,ヒトカゲ,Charmander,ほのお,,39,52,43,60,50,65,309,0.6,8.5,62
5,リザード,Charmeleon,ほのお,,58,64,58,80,65,80,405,1.1,19.0,142
6,リザードン,Charizard,ほのお,ひこう,78,84,78,109,85,100,534,1.7,90.5,240
7,ゼニガメ,Squirtle,みず,,44,48,65,50,64,43,314,0.5,9.0,63
8,カメール,Wartortle,みず,,59,63,80,65,80,58,405,1.0,22.5,142
9,カメックス,Blastoise,みず,,79,83,100,85,105,78,530,1.6,85.5,239
10,キャタピー,Caterpie,むし,,45,30,35,20,20,45,195,0.3,2.9,39
11,トランセル,Metapod,むし,,50,20,55,25,25,30,205,0.7,9.9,72
12,バタフリー,Butterfree,むし,ひこう,60,45,50,90,80,70,395,1.1,32.0,178
13,ビードル,Weedle,むし,どく,40,35,30,20,20,50,195,0.3,3.2,39
14,コクーン,Kakuna,むし,どく,45,25,50,25,25,35,205,0.6,10.0,72
15,スピアー,Beedrill,むし,どく,65,90,40,45,80,75,395,1.0,29.5,178
16,ポッポ,Pidgey,ノーマル,ひこう,40,45,40,35,35,56,251,0.3,1.8,50
17,ピジョン,Pidgeotto,ノーマル,ひこう,63,60,55,50,50,71,349,1.1,30.0,122
18,ピジョット,Pidgeot,ノーマル,ひこう,83,80,75,70,70,101,479,1.5,39.5,216
19,コラッタ,Rattata,ノーマル,,30,56,35,25,35,72,253,0.3,3.5,51
20,ラッタ,Raticate,ノーマル,,55,81,60,50,70,97,413,0.7,18.5,145
21,オニスズメ,Spearow,ノーマル,ひこう,40,60,30,31,31,70,262,0.3,2.0,52
22,オニドリル,Fearow,ノーマル,ひこう,65,90,65,61,61,100,442,1.2,38.0,155
23,アーボ,Ekans,どく,,35,60,44,40,54,55,288,2.0,6.9,58
24,アーボック,Arbok,どく,,60,95,69,65,79,80,448,3.5,65.0,157
25,ピカチュウ,Pikachu,でんき,,35,55,40,50,50,90,320,0.4,6.0,112
26,ライチュウ,Raichu,でんき,,60,90,55,90,80,110,485,0.8,30.0,218
27,サンド,Sandshrew,じめん,,50,75,85,20,30,40,300,0.6,12.0,60
28,サンドパン,Sandslash,じめん,,75,100,110,45,55,65,450,1.0,29.5,158
29,ニドラン♀,Nidoran♀,どく,,55,47,52,40,40,41,275,0.4,7.0,55
30,ニドリーナ,Nidorina,どく,,70,62,67,55,55,56,365,0.8,20.0,128
31,ニドクイン,Nidoqueen,どく,じめん,90,92,87,75,85,76,505,1.3,60.0,227
32,ニドラン♂,Nidoran♂,どく,,46,57,40,40,40,50,273,0.5,9.0,55
33,ニドリーノ,Nidorino,どく,,61,72,57,55,55,65,365,0.9,19.5,128
34,ニドキング,Nidoking,どく,じめん,81,102,77,85,75,85,505,1.4,62.0,227
35,ピッピ,Clefairy,フェアリー,,70,45,48,60,65,35,323,0.6,7.5,113
36,ピクシー,Clefable,フェアリー,,95,70,73,95,90,60,483,1.3,40.0,217
37,ロコン,Vulpix,ほのお,,38,41,40,50,65,65,299,0.6,9.9,60
38,キュウコン,Ninetales,ほのお,,73,76,75,81,100,100,505,1.1,19.9,177
39,プリン,Jigglypuff,ノーマル,フェアリー,115,45,20,45,25,20,270,0.5,5.5,95
40,プクリン,Wigglytuff,ノーマル,フェアリー,140,70,45,85,50,45,435,1.0,12.0,196
41,ズバット,Zubat,どく,ひこう,40,45,35,30,40,55,245,0.8,7.5,49
42,ゴルバット,Golbat,どく,ひこう,75,80,70,65,75,90,455,1.6,55.0,159
43,ナゾノクサ,Oddish,くさ,どく,45,50,55,75,65,30,320,0.5,5.4,64
44,クサイハナ,Gloom,くさ,どく,60,65,70,85,75,40,395,0.8,8.6,138
45,ラフレシア,Vileplume,くさ,どく,75,80,85,110,90,50,490,1.2,18.6,221
46,パラス,Paras,むし,くさ,35,70,55,45,55,25,285,0.3,5.4,57
47,パラセクト,Parasect,むし,くさ,60,95,80,60,80,30,405,1.0,29.5,142
48,コンパン,Venonat,むし,どく,60,55,50,40,55,45,305,1.0,30.0,61
49,モルフォン,Venomoth,むし,どく,70,65,60,90,75,90,450,1.5,12.5,158
50,ディグダ,Diglett,じめん,,10,55,25,35,45,95,265,0.2,0.8,53
51,ダグトリオ,Dugtrio,じめん,,35,100,50,50,70,120,425,0.7,33.3,149
52,ニャース,Meowth,ノーマル,,40,45,35,40,40,90,290,0.4,4.2,58
53,ペルシアン,Persian,ノーマル,,65,70,60,65,65,115,440,1.0,32.0,154
54,コダック,Psyduck,みず,,50,52,48,65,50,55,320,0.8,19.6,64
55,ゴルダック,Golduck,みず,,80,82,78,95,80,85,500,1.7,76.6,175
56,マンキー,Mankey,かくとう,,40,80,35,35,45,70,305,0.5,28.0,61
57,オコリザル,Primeape,かくとう,,65,105,60,60,70,95,455,1.0,32.0,159
58,ガーディ,Growlithe,ほのお,,55,70,45,70,50,60,350,0.7,19.0,70
59,ウインディ,Arcanine,ほのお,,90,110,80,100,80,95,555,1.9,155.0,194
60,ニョロモ,Poliwag,みず,,40,50,40,40,40,90,300,0.6,12.4,60
61,ニョロゾ,Poliwhirl,みず,,65,65,65,50,50,90,385,1.0,20.0,135
62,ニョロボン,Poliwrath,みず,かくとう,90,95,95,70,90,70,510,1.3,54.0,230
63,ケーシィ,Abra,エスパー,,25,20,15,105,55,90,310,0.9,19.5,62
64,ユンゲラー,Kadabra,エスパー,,40,35,30,120,70,105,400,1.3,56.5,140
65,フーディン,Alakazam,エスパー,,55,50,45,135,95,120,500,1.5,48.0,225
66,ワンリキー,Machop,かくとう,,70,80,50,35,35,35,305,0.8,19.5,61
67,ゴーリキー,Machoke,かくとう,,80,100,70,50,60,45,405,1.5,70.5,142
68,カイリキー,Machamp,かくとう,,90,130,80,65,85,55,505,1.6,130.0,227
69,マダツボミ,Bellsprout,くさ,どく,50,75,35,70,30,40,300,0.7,4.0,60
70,ウツドン,Weepinbell,くさ,どく,65,90,50,85,45,55,390,1.0,6.4,137
71,ウツボット,Victreebel,くさ,どく,80,105,65,100,70,70,490,1.7,15.5,221
72,メノクラゲ,Tentacool,みず,どく,40,40,35,50,100,70,335,0.9,45.5,67
73,ドククラゲ,Tentacruel,みず,どく,80,70,65,80,120,100,515,1.6,55.0,180
74,イシツブテ,Geodude,いわ,じめん,40,80,100,30,30,20,300,0.4,20.0,60
75,ゴローン,Graveler,いわ,じめん,55,95,115,45,45,35,390,1.0,105.0,137
76,ゴローニャ,Golem,いわ,じめん,80,120,130,55,65,45,495,1.4,300.0,223
77,ポニータ,Ponyta,ほのお,,50,85,55,65,65,90,410,1.0,30.0,82
78,ギャロップ,Rapidash,ほのお,,65,100,70,80,80,105,500,1.7,95.0,175
79,ヤドン,Slowpoke,みず,エスパー,90,65,65,40,40,15,315,1.2,36.0,63
80,ヤドラン,Slowbro,みず,エスパー,95,75,110,100,80,30,490,1.6,78.5,172
81,コイル,Magnemite,でんき,はがね,25,35,70,95,55,45,325,0.3,6.0,65
82,レアコイル,Magneton,でんき,はがね,50,60,95,120,70,70,465,1.0,60.0,163
83,カモネギ,Farfetch’d,ノーマル,ひこう,52,90,55,58,62,60,377,0.8,15.0,132
84,ドードー,Doduo,ノーマル,ひこう,35,85,45,35,35,75,310,1.4,39.2,62
