都道府県,人口_千人_2024,面積_km2,人口密度_人_km2,高齢化率_percent
北海道,5043,83424,60.5,33.3
青森県,1165,9646,120.8,35.9
岩手県,1145,15275,75.0,35.4
宮城県,2248,7282,308.7,29.8
秋田県,897,11638,77.1,39.3
山形県,1011,9323,108.4,36.3
福島県,1743,13784,126.5,33.5
茨城県,2806,6097,460.2,30.7
栃木県,1895,6408,295.7,30.2
群馬県,1890,6362,297.1,30.8
埼玉県,7332,3798,1930.5,27.4
千葉県,6278,5158,1217.1,28.0
東京都,14178,2194,6462.2,23.5
神奈川県,9225,2416,3818.3,25.8
新潟県,2098,12584,166.7,34.9
富山県,997,4248,234.7,33.4
石川県,1098,4186,262.3,30.9
福井県,739,4191,176.3,31.9
山梨県,791,4465,177.2,31.5
長野県,1998,13562,147.3,32.9
岐阜県,1916,10621,180.4,31.1
静岡県,3527,7777,453.5,30.7
愛知県,7465,5173,1443.1,25.9
三重県,1716,5774,297.2,30.4
滋賀県,1405,4017,349.8,26.7
京都府,2520,4612,546.4,29.6
大阪府,8757,1905,4596.9,27.7
兵庫県,5337,8401,635.3,29.6
奈良県,1285,3691,348.1,32.3
和歌山県,891,4725,188.6,34.7
鳥取県,531,3507,151.4,33.7
島根県,642,6708,95.7,35.2
岡山県,1844,7115,259.2,30.8
広島県,2734,8480,322.4,30.0
山口県,1280,6113,209.4,36.0
徳島県,685,4147,165.2,35.0
香川県,917,1877,488.5,32.5
愛媛県,1285,5676,226.4,34.5
高知県,656,7103,92.4,36.3
福岡県,5091,4987,1020.9,28.5
佐賀県,791,2441,324.0,31.2
長崎県,1250,4131,302.6,34.3
熊本県,1697,7409,229.0,31.3
大分県,1092,6341,172.2,33.5
宮崎県,1034,7735,133.7,33.2
鹿児島県,1532,9187,166.8,34.2
沖縄県,1466,2282,642.4,23.1
